Number;Number 1;Number 2
12099;13535;11864
66758;77237;10273
12626;64002;22427
84868;35401;99748
7175;24390;8283
73123;53700;30627
98125;72982;20441
22159;82388;78588
72405;91394;32783
15395;21850;44929
50812;41324;14002
47603;47918;84370
38532;17349;65173
91375;78524;3308
28417;74311;4614
8695;46902;7265
57005;38762;3873
84758;94578;16416
93775;191;66123
48140;2156;97340
8097;42451;59151
88443;1980;96511
609;65929;38143
85267;7785;46324
19497;65147;43799
31421;68777;31716
15553;43382;38908
28322;85433;63330
65686;74342;49897
80961;23711;76826
43919;28432;7869
86943;1148;9900
64184;57327;14314
5498;13490;83837
91451;33894;44104
38180;5889;86917
72737;31076;52007
69236;27490;55781
51207;7367;58176
91710;55823;83026
73429;69367;90791
21060;21385;73839
13323;36738;62179
79325;79218;41306
41149;20411;45128
87772;43411;1102
27674;74132;37801
16404;99913;92313
69518;9321;72143
57929;88805;64769
56973;97620;47974
69408;77614;87438
99537;67959;15180
88225;45993;40130
45922;63709;86061
84826;50684;49511
59700;77006;89466
85669;71621;29336
68088;12209;23914
9424;29553;51489
18453;51700;44
83842;34925;64231
23742;70174;76431
74226;54667;25255
25650;96239;28441
55664;92787;65668
679;86569;33301
31220;21582;76877
56738;61537;41282
59388;69075;54272
95926;64785;32527
96344;31093;9757
64123;65389;36471
82523;35036;15584
7588;57750;4777
9908;13755;48558
19340;34522;10488
22485;99036;56206
19709;61022;17249
3200;49938;63580
41588;84830;46803
94856;40117;24253
85600;83287;30743
84845;68705;27551
56197;96551;64109
55261;13778;26935
15092;38322;55926
93857;96293;57596
15521;67538;82000
44459;87430;79321
46475;81353;81820
90824;19722;33866
34813;44692;4315
62859;56264;75433
50158;48651;91219
5742;1370;16510
21756;2469;46592
80396;13285;77745
9883;72518;58619
27906;57914;48058
31667;86316;83789
91284;75191;9054
86065;25206;66872
94348;41014;83721
15901;34800;94797
27675;14811;12739
88112;784;6013
17420;35942;24625
54527;91467;70043
56229;49332;56301
81115;90350;11569
29829;32556;74648
53118;69880;69350
52895;70823;24718
85140;61315;35865
63010;67650;15548
58873;83561;67080
51340;66996;67934
17260;21299;97817
56599;77726;48966
39730;8518;91709
98;61633;76187
54244;19897;15978
73556;27137;34160
5172;92816;31206
81547;20176;63103
12564;75674;60934
20303;3583;92024
17446;53842;44250
41506;96739;27877
44549;4763;81606
11103;80582;29487
92498;19576;96846
2010;40798;80803
29667;34978;68319
22635;98098;5827
39905;68814;72536
11566;21430;46682
16845;85702;14127
74351;35992;86486
40793;18717;96311
60629;53105;13787
85055;69408;7467
87892;93841;94648
27302;51308;78985
86917;88765;63144
77102;75872;90185
